id,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,popularity,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
1399,Game of Thrones,8,73,en,21857,8.442,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",False,/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg,2011-04-17,2019-05-19,http://www.hbo.com/game-of-thrones,False,Game of Thrones,1083.917,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,Scripted,Ended,Winter Is Coming,"Sci-Fi & Fantasy, Drama, Action & Adventure","David Benioff, D.B. Weiss",en,HBO,US,English,"Revolution Sun Studios, Television 360, Generator Entertainment, Bighead Littlehead","United Kingdom, United States of America",0
71446,Money Heist,3,41,es,17836,8.257,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",False,/gFZriCkpJYsApPZEF3jhxL4yLzG.jpg,2017-05-02,2021-12-03,https://www.netflix.com/title/80192098,False,La Casa de Papel,96.354,/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg,Scripted,Ended,The perfect robbery.,"Crime, Drama",Álex Pina,es,"Netflix, Antena 3",ES,Español,Vancouver Media,Spain,70
66732,Stranger Things,4,34,en,16161,8.624,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",False,/2MaumbgBlW1NoPo3ZJO38A6v7OS.jpg,2016-07-15,2022-07-01,https://www.netflix.com/title/80057281,True,Stranger Things,185.711,/49WJfeN0moxb9IPfGn8AIqMGskD.jpg,Scripted,Returning Series,Every ending has a beginning.,"Drama, Sci-Fi & Fantasy, Mystery","Matt Duffer, Ross Duffer",en,Netflix,US,English,"21 Laps Entertainment, Monkey Massacre Productions",United States of America,0
1402,The Walking Dead,11,177,en,15432,8.121,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,False,/x4salpjB11umlUOltfNvSSrjSXm.jpg,2010-10-31,2022-11-20,http://www.amc.com/shows/the-walking-dead--1002293,False,The Walking Dead,489.746,/n7PVu0hSz2sAsVekpOIoCnkWlbn.jpg,Scripted,Ended,Fight the dead. Fear the living.,"Action & Adventure, Drama, Sci-Fi & Fantasy",Frank Darabont,en,AMC,US,English,"AMC Studios, Circle of Confusion, Valhalla Motion Pictures, Darkwoods Productions, Skybound Entertainment, Idiotbox",United States of America,42
63174,Lucifer,6,93,en,13870,8.486,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",False,/aDBRtunw49UF4XmqfyNuD9nlYIu.jpg,2016-01-25,2021-09-10,https://www.netflix.com/title/80057918,False,Lucifer,416.668,/ekZobS8isE6mA53RAiGDG93hBxL.jpg,Scripted,Ended,It's good to be bad.,"Crime, Sci-Fi & Fantasy",Tom Kapinos,en,"FOX, Netflix",US,English,"Warner Bros. Television, DC Entertainment, Jerry Bruckheimer Television, DC Vertigo",United States of America,45
69050,Riverdale,7,137,en,13180,8.479,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",False,/soQgquPkLmUu9eKLJJzuA4KZDyi.jpg,2017-01-26,2023-08-23,http://www.cwtv.com/shows/riverdale/,False,Riverdale,143.75,/c1ROxK1Afo6YuGi3j6ClXmrNcHi.jpg,Scripted,Ended,"To save the future, they must survive the past.","Crime, Drama, Mystery",Roberto Aguirre-Sacasa,en,The CW,US,English,"Warner Bros. Television, Berlanti Productions, CBS Studios, Archie Comics",United States of America,45
93405,Squid Game,2,9,ko,13053,7.831,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",False,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,2021-09-17,2021-09-17,https://www.netflix.com/title/81040344,True,오징어 게임,115.587,/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,Scripted,Returning Series,45.6 billion won is child's play,"Action & Adventure, Mystery, Drama",Hwang Dong-hyuk,"en, ko, ur",Netflix,KR,"English, 한국어/조선말, اردو","Siren Pictures, Firstman Studio",South Korea,0
1396,Breaking Bad,5,62,en,12398,8.89,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",False,/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg,2008-01-20,2013-09-29,http://www.amc.com/shows/breaking-bad,False,Breaking Bad,247.632,/3xnWaLQjelJDDF7LT1WBo6f4BRe.jpg,Scripted,Ended,Change the equation.,"Drama, Crime",Vince Gilligan,"en, de, es",AMC,US,"English, Deutsch, Español","Sony Pictures Television Studios, High Bridge Productions, Gran Via Productions",United States of America,0
71712,The Good Doctor,6,116,en,11768,8.503,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",False,/xXRsKNJHTOGrs5wfYAxkbM2RiyT.jpg,2017-09-25,2023-05-01,https://abc.com/shows/the-good-doctor,True,The Good Doctor,681.614,/luhKkdD80qe62fwop6sdrXK9jUT.jpg,Scripted,Returning Series,Everyone operates differently.,Drama,David Shore,en,ABC,US,English,"ABC Studios, 3AD, Sony Pictures Television Studios",United States of America,43
85271,WandaVision,1,9,en,11308,8.3,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,False,/lOr9NKxh4vMweufMOUDJjJhCRHW.jpg,2021-01-15,2021-03-05,https://www.disneyplus.com/series/wandavision/4SrN28ZjDLwH,False,WandaVision,62.893,/frobUz2X5Pc8OiVZU8Oo5K3NKMM.jpg,Miniseries,Ended,Experience a new vision of reality.,"Sci-Fi & Fantasy, Mystery, Drama",Jac Schaeffer,en,Disney+,US,English,Marvel Studios,United States of America,0
60735,The Flash,9,184,en,10642,7.797,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",False,/gNPWlhUXhyWiHv9qxr57tvT0WwS.jpg,2014-10-07,2023-05-24,http://www.cwtv.com/shows/the-flash/,False,The Flash,319.767,/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,Scripted,Ended,The fastest man alive.,"Drama, Sci-Fi & Fantasy","Greg Berlanti, Geoff Johns, Andrew Kreisberg",en,The CW,US,English,"Warner Bros. Television, Berlanti Productions, DC Entertainment",United States of America,44
1418,The Big Bang Theory,12,279,en,10322,7.879,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,False,/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg,2007-09-24,2019-05-16,http://www.cbs.com/shows/big_bang_theory/,False,The Big Bang Theory,344.121,/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,Scripted,Ended,Smart is the new sexy.,Comedy,"Chuck Lorre, Bill Prady",en,CBS,US,English,"Chuck Lorre Productions, Warner Bros. Television",United States of America,22
84958,Loki,2,12,en,10136,8.2,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",False,/bZGAX8oMDm3Mo5i0ZPKh9G2OcaO.jpg,2021-06-09,2021-07-14,https://www.disneyplus.com/series/wp/6pARMvILBGzF,True,Loki,276.759,/voHUmluYmKyleFkTu3lOXQG702u.jpg,Scripted,Returning Series,Loki's time has come.,"Drama, Sci-Fi & Fantasy",Michael Waldron,en,Disney+,US,English,Marvel Studios,United States of America,52
1416,Grey's Anatomy,19,419,en,9512,8.253,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,False,/ds1n5P0Y92cTh6UpbcA89hxM96a.jpg,2005-03-27,2023-05-18,https://abc.com/shows/greys-anatomy,True,Grey's Anatomy,1647.218,/daSFbrt8QCXV2hSwB0hqYjbj681.jpg,Scripted,Returning Series,Begin again.,Drama,Shonda Rhimes,en,ABC,US,English,"The Mark Gordon Company, ShondaLand, ABC Studios, Touchstone Television",United States of America,43
82856,The Mandalorian,3,24,en,9353,8.5,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",False,/9zcbqSxdsRMZWHYtyCd1nXPr2xq.jpg,2019-11-12,2023-04-19,https://www.disneyplus.com/series/the-mandalorian/3jLIGMDYINqD,True,The Mandalorian,154.48,/eU1i6eHXlzMOlEq0ku1Rzq7Y4wA.jpg,Scripted,Returning Series,Bounty hunting is a complicated profession.,"Sci-Fi & Fantasy, Action & Adventure, Drama",Jon Favreau,en,Disney+,US,English,"Lucasfilm Ltd., Golem Creations, Fairview Entertainment",United States of America,0
456,The Simpsons,35,762,en,9136,7.999,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",False,/pxeqQX4qFQ0cVxPt5SWZENV5BH3.jpg,1989-12-17,2023-10-01,https://www.fox.com/the-simpsons/,True,The Simpsons,439.488,/vHqeLzYl3dEAutojCO26g0LIkom.jpg,Scripted,Returning Series,Putting the Fun back in Dysfunctional!,"Family, Animation, Comedy",Matt Groening,en,FOX,US,English,"Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",United States of America,22
85552,Euphoria,2,16,en,9008,8.353,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",False,/oKt4J3TFjWirVwBqoHyIvv5IImd.jpg,2019-06-16,2022-02-27,https://www.hbo.com/euphoria,True,Euphoria,197.456,/3Q0hd3heuWwDWpwcDkhQOA6TYWI.jpg,Scripted,Returning Series,Remember this feeling.,"Drama, Crime",Sam Levinson,en,HBO,US,English,"A24, The Reasonable Bunch, Little Lamb Productions, DreamCrew, Tiny Goat, HBO, ADD Content Agency, HOT, Tedy Productions","Israel, United States of America",60
75006,The Umbrella Academy,4,32,en,8891,8.604,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",False,/7sqFEDDmK1hG5m92upolcfQxy7R.jpg,2019-02-15,2022-06-22,https://www.netflix.com/title/80186863,True,The Umbrella Academy,51.859,/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,Scripted,Returning Series,Too many siblings. Not enough timeline.,"Action & Adventure, Sci-Fi & Fantasy, Drama",Steve Blackman,en,Netflix,US,English,"Dark Horse Entertainment, UCP","Canada, United States of America",0
60574,Peaky Blinders,6,36,en,8836,8.546,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",False,/wiE9doxiLwq3WCGamDIOb2PqBqc.jpg,2013-09-12,2022-04-03,https://www.bbc.co.uk/programmes/b045fz8r,False,Peaky Blinders,344.477,/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg,Scripted,Ended,London's for the taking,"Drama, Crime",Steven Knight,en,"BBC One, BBC Two",GB,English,"Tiger Aspect, BBC Studios, Caryn Mandabach Productions, Screen Yorkshire",United Kingdom,58
76669,Elite,7,49,es,8817,8.071,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",False,/tl0mg7lOnS6tP8ngH0QwgMLQdpV.jpg,2018-10-05,2022-11-18,https://www.netflix.com/title/80200942,True,Élite,100.711,/3NTAbAiao4JLzFQw6YxP1YZppM8.jpg,Scripted,Returning Series,,"Crime, Mystery, Drama","Carlos Montero, Darío Madrona",es,Netflix,ES,Español,Zeta Studios,Spain,50
